50,"ABX Air",NULL,"GB","ABX","ABEX","United States","N"
51,"ATA Brasil",NULL,"","ABZ","ATA-BRAZIL","Brazil","N"
52,"Avcard Services",NULL,"","ACC","","United Kingdom","N"
53,"Academy Airlines",NULL,"","ACD","ACADEMY","United States","N"
54,"Aero Comondu",NULL,"","ACO","AERO COMONDU","Mexico","N"
55,"Astral Aviation",NULL,"8V","ACP","ASTRAL CARGO","Kenya","Y"
56,"Air Cess",NULL,"","ACS","","Liberia","N"
57,"Air Aurora",NULL,"","AAI","BOREALIS","United States","N"
58,"Air Cargo Transportation System",NULL,"","ACU","AFRISPIRIT","Kenya","N"
59,"Air Charter Service",NULL,"","ACV","","United Kingdom","N"
60,"Aero Asia International",NULL,"E4","RSO","AERO ASIA","Pakistan","N"
61,"Air Charters",NULL,"","ACX","PARAIR","Canada","N"
62,"Air Togo",NULL,"YT","TGA","AIR TOGO","Togo","N"
63,"Air Somalia",NULL,"","RSM","AIR SOMALIA","Somali Republic","N"
64,"Atlas Cargo Lines",NULL,"","ACY","ATLAS CARGOLINES","Morocco","N"
65,"Airservices Australia",NULL,"","ADA","AUSCAL","Australia","N"
66,"Advance Leasing Company",NULL,"4G","","","United States","N"
67,"Aztec Worldwide Airlines",NULL,"7A","","","United States","N"
68,"Air Tindi",NULL,"8T","","","Canadian Territories","Y"
69,"Antonov Airlines",NULL,"","ADB","ANTONOV BUREAU","Ukraine","N"
70,"Air Atlantic Dominicana",NULL,"","ADC","ATLAN-DOMINICAN","Dominican Republic","N"
71,"Advanced Air Co.",NULL,"","ADD","","Japan","N"
72,"Ada Air",NULL,"ZY","ADE","ADA AIR","Albania","Y"
73,"Aerea Flying Training Organization",NULL,"","ADG","AEREA TRAINING","Spain","N"
74,"Audeli Air",NULL,"","ADI","AUDELI","Spain","N"
75,"Abicar",NULL,"","ADJ","ABICAR","Ivory Coast","N"
76,"ADC Airlines",NULL,"Z7","ADK","ADCO","Nigeria","N"
77,"Aero Dynamics",NULL,"","ADL","COTSWOLD","United Kingdom","N"
78,"Aerolineas Dominicanas",NULL,"","ADM","DOMINAIR","Dominican Republic","N"
79,"Aerodienst GmbH",NULL,"","ADN","AERODIENST","Germany","N"
80,"Aerodiplomatic",NULL,"","ADP","AERODIPLOMATIC","Mexico","N"
81,"Aerodyne",NULL,"","ADY","AERODYNE","United States","N"
82,"Avion Taxi",NULL,"","ADQ","AIR DATA","Canada","N"
83,"Adria Airways",NULL,"JP","ADR","ADRIA","Slovenia","Y"
84,"Aviones de Sonora",NULL,"","ADS","SONORAV","Mexico","N"
85,"Air Dorval",NULL,"","ADT","AIR DORVAL","Canada","N"
86,"Airdeal Oy",NULL,"","ADU","AIRDEAL","Finland","N"
87,"Advance Air Charters",NULL,"","ADV","ADVANCE","Canada","N"
88,"Air Andaman",NULL,"","ADW","AIR ANDAMAN","Thailand","N"
89,"Anderson Aviation",NULL,"","ADX","ANDAX","United States","N"
90,"Air Europa",NULL,"UX","AEA","EUROPA","Spain","Y"
91,"Air Southwest Ltd.",NULL,"","ASW","AIRSOUTHWEST","Canada","N"
92,"Air Special",NULL,"","ASX","AIRSPEC","Czech Republic","N"
93,"Aero Benin",NULL,"EM","AEB","AEROBEN","Benin","Y"
94,"Aerocesar",NULL,"","AEC"," Aerovias Del Cesar","AEROCESAR","N"
95,"Aerotrans Airlines",NULL,"","AED","","Russia","N"
96,"Aegean Airlines",NULL,"A3","AEE","AEGEAN","Greece","Y"
97,"Aerofumigaciones Sam",NULL,"","AEG","FUMIGACIONES SAM","Chile","N"
98,"Aeroexpreso Interamericano",NULL,"","AEI","INTERAM","Colombia","N"
99,"Air Express",NULL,"","AEJ","KHAKI EXPRESS","Tanzania","N"
100,"Aerocon",NULL,"","AEK","AEROCON","Bolivia","N"
101,"Aero Madrid",NULL,"","AEM","AEROMADRID","Spain","N"
102,"Aeroenlaces Nacionales",NULL,"","AEN","","Mexico","N"
103,"Aeroservicios Ejecutivos Del Occidente",NULL,"","AEO","AERO OCCIDENTE","Mexico","N"
104,"Aerotec",NULL,"","AEP","AEROTEC","Spain","N"
105,"Air Atlantique",NULL,"KI","AAG","ATLANTIC","United Kingdom","N"
106,"Air Europe",NULL,"PE","AEL","AIR EUROPE","Italy","Y"
107,"Air Alma",NULL,"","AAJ","AIR ALMA","Canada","N"
108,"Air Express",NULL,"","AEQ","LUNA","Sweden","N"
109,"Alaska Central Express",NULL,"KO","AER","ACE AIR","United States","Y"
110,"ACES Colombia",NULL,"","AES","ACES","Colombia","Y"
111,"Aeronautical Radio of Thailand",NULL,"","AET","AEROTHAI","Thailand","N"
112,"Astraeus",NULL,"5W","AEU","FLYSTAR","United Kingdom","Y"
113,"Aeroventas",NULL,"","AEV","AEROVENTAS","Mexico","N"
114,"Aerosvit Airlines",NULL,"VV","AEW","AEROSVIT","Ukraine","Y"
115,"Airway Express",NULL,"","AEX","AVCO","United States","N"
116,"Air Italy",NULL,"I9","AEY","AIR ITALY","Italy","Y"
117,"Aerial Transit Company",NULL,"","AEZ","AERIAL TRANZ","United States","N"
118,"Alfa Air",NULL,"","AFA","BLUE ALFA","Czech Republic","N"
119,"American Falcon",NULL,"WK","AFB","AMERICAN FALCON","Argentina","N"
120,"Alliance Airlines",NULL,"QQ","UTY","UNITY","Australia","Y"
121,"Air Universal",NULL,"","UVS","UNI-LEONE","Sierra Leone","N"
122,"Auvia Air",NULL,"","UVT","AUVIA","Indonesia","N"
123,"African West Air",NULL,"","AFC","AFRICAN WEST","Senegal","N"
124,"Airfast Indonesia",NULL,"","AFE","AIRFAST","Indonesia","N"
125,"Ariana Afghan Airlines",NULL,"FG","AFG","ARIANA","Afghanistan","Y"
126,"Air Fecteau",NULL,"","AFH","FECTO","Canada","N"
127,"Africaone",NULL,"","AFI","AFRICAWORLD","Uganda","N"
128,"Alliance",NULL,"","AFJ","JAMBO","Uganda","N"
129,"Africa Air Links",NULL,"","AFK","AFRICA LINKS","Sierra Leone","N"
130,"Aeroflot Russian Airlines",NULL,"SU","AFL","AEROFLOT","Russia","Y"
131,"Aero Empresa Mexicana",NULL,"","AFO","AERO EMPRESA","Mexico","N"
132,"Air Bosna",NULL,"JA","BON","AIR BOSNA","Bosnia and Herzegovina","Y"
133,"Air Bravo",NULL,"","BRF","AIR BRAVO","Uganda","N"
134,"Air Brasd'or",NULL,"","BRL","BRASD'OR","Canada","N"
135,"Air 500",NULL,"","BRM","BOOMERANG","Canada","N"
136,"Alba Servizi Aerotrasporti",NULL,"","AFQ","ALBA","Italy","N"
137,"Air France",NULL,"AF","AFR","AIRFRANS","France","Y"
138,"Air Partner",NULL,"","ACG","AIR PARTNER","United Kingdom","N"
139,"Air Caledonie International",NULL,"SB","ACI","AIRCALIN","France","Y"
140,"Air Caledonia",NULL,"","ACM","WEST CAL","Canada","N"
141,"Air Guam",NULL,"","AGM","AIR GUAM","United States","N"
142,"Air Gabon",NULL,"GN","AGN","GOLF NOVEMBER","Gabon","N"
143,"Air Data",NULL,"","AFS","","United Kingdom","N"
144,"Air Afrique Vacancies",NULL,"","AFV","AFRIQUE VACANCE","Ivory Coast","N"
145,"Air Cargo America",NULL,"","MVM","PEGASUS","United States","N"
146,"Air Salone",NULL,"2O","","","Sierra Leone","Y"
147,"Air-Angol",NULL,"","NGO","AIR ANGOL","Angola","N"
148,"Air Nigeria",NULL,"","NGP","REGAL EAGLE","Nigeria","N"
149,"Air Cargo Carriers",NULL,"2Q","SNC","NIGHT CARGO","United States","Y"
150,"Air Samarkand",NULL,"","SND","ARSAM","Uzbekistan","N"
151,"Air Senegal International",NULL,"V7","SNG","AIR SENEGAL","Senegal","N"
152,"Air Sandy",NULL,"","SNY","AIR SANDY","Canada","N"
153,"Air Namibia",NULL,"SW","NMB","NAMIBIA","Namibia","Y"
154,"Air Intersalonika",NULL,"","NSK","INTERSALONIKA","Greece","N"
155,"Air Anatolia",NULL,"","NTL","AIR ANATOLIA","Turkey","N"
156,"Air Saigon",NULL,"","SGA","AIR SAIGON","Vietnam","N"
157,"Afrique Regional Airways",NULL,"","AFW","AFRAIR","Ivory Coast","N"
158,"Airfreight Express",NULL,"","AFX"," ","United Kingdom","N"
159,"Africa Chartered Services",NULL,"","AFY","AFRICA CHARTERED","Nigeria","N"
160,"Africa Freight Services",NULL,"","AFZ","AFREIGHT","Zambia","N"
161,"Aeronaves Del Centro",NULL,"","AGA","","Venezuela","N"
162,"Air Service Gabon",NULL,"G8","AGB","","Gabon","N"
163,"Arab Agricultural Aviation Company",NULL,"","AGC","AGRICO","Egypt","N"
164,"Atlantic Gulf Airlines",NULL,"","AGF","ATLANTIC GULF","United States","N"
165,"Aerolitoral",NULL,"5D","SLI","COSTERA","Mexico","Y"
166,"Algoma Airways",NULL,"","AGG","ALGOMA","Canada","N"
167,"Altagna",NULL,"","AGH","ALTAGNA","France","N"
168,"Angola Air Charter",NULL,"","AGO","ANGOLA CHARTER","Angola","N"
169,"Angola Air Charter",NULL,"","AGO","ANGOLA CHARTER","Angola","N"
170,"AERFI Group",NULL,"","AGP","AIR TARA","Ireland","N"
171,"Aerogala",NULL,"","AGQ","GALASERVICE","Chile","N"
172,"Amadeus Global Travel Distribution",NULL,"1A","AGT","AMADEUS","Spain","N"
173,"Angara Airlines",NULL,"","AGU","SARMA","Russia","N"
174,"Air Glaciers",NULL,"7T","AGV","AIR GLACIERS","Switzerland","Y"
175,"Aero Gambia",NULL,"","AGW","AERO GAMBIA","Gambia","N"
176,"Aviogenex",NULL,"","AGX","GENEX","Serbia","Y"
177,"Atlantic Coast Airlines",NULL,"","BLR","BLUE RIDGE","United States","N"
178,"Aero Barloz",NULL,"","BLZ","AEROLOZ","Mexico","N"
179,"Aeroper",NULL,"PL","PLI","Aeroperu","Peru","Y"
180,"Atlas Blue",NULL,"8A","BMM","ATLAS BLUE","Morocco","Y"
181,"Aero Banobras",NULL,"","BNB","AEROBANOBRAS","Mexico","N"
182,"Aero Flight Service",NULL,"","AGY","FLIGHT GROUP","United States","N"
183,"Agrolet-Mci",NULL,"","AGZ","AGROLET","Slovakia","N"
184,"Air Alpha Greenland",NULL,"GD","AHA","AIR ALPHA","Denmark","N"
185,"Azal Avia Cargo",NULL,"","AHC","AZALAVIACARGO","Azerbaijan","N"
186,"Airport Helicopter Basel",NULL,"","AHE"," Muller & Co.","AIRPORT HELICOPTER","N"
187,"Aeroservices Corporate",NULL,"","CJE","BIRD JET","France","N"
188,"Aspen Helicopters",NULL,"","AHF","ASPEN","United States","N"
189,"Aerochago Airlines",NULL,"","AHG","AEROCHAGO","Dominican Republic","N"
190,"Airplanes Holdings",NULL,"","AHH","AIRHOLD","Ireland","N"
191,"Air Hong Kong",NULL,"LD","AHK","AIR HONG KONG","Hong Kong","N"
192,"Aerochiapas",NULL,"","AHP","AEROCHIAPAS","Mexico","N"
193,"Air Adriatic",NULL,"","AHR","ADRIATIC","Croatia","N"
194,"Air Viggi San Raffaele",NULL,"","AHS","AIRSAR","Italy","N"
195,"ABC Air Hungary",NULL,"","AHU","ABC HUNGARY","Hungary","N"
196,"Aeromist-Kharkiv",NULL,"HT","AHW","AEROMIST","Ukraine","N"
197,"Azerbaijan Airlines",NULL,"J2","AHY","AZAL","Azerbaijan","Y"
198,"Avies",NULL,"U3","AIA","AVIES","Estonia","Y"
199,"Airbus Industrie",NULL,"AP","AIB","AIRBUS INDUSTRIE","France","N"
200,"Alpine Air Chile",NULL,"","AIH","ALPINE CHILE","Chile","N"
201,"Air Integra",NULL,"","AII","INTEGRA","Canada","N"
202,"ABC Aerolineas",NULL,"","AIJ","ABC AEROLINEAS","Mexico","N"
203,"African Airlines International Limited",NULL,"","AIK","AFRICAN AIRLINES","Kenya","N"
204,"African International Airways",NULL,"","AIN","FLY CARGO","Swaziland","N"
205,"Alpine Air Express",NULL,"5A","AIP","ALPINE AIR","United States","N"
206,"Alicante Internacional Airlines",NULL,"","AIU","ALIA","Spain","N"
207,"Aba Air",NULL,"","ABP","BAIR","Czech Republic","N"
208,"Airblue",NULL,"ED","ABQ","PAKBLUE","Pakistan","Y"
209,"Airmark Aviation",NULL,"","THM","THAI AIRMARK","Thailand","N"
210,"Airlift International",NULL,"","AIR","AIRLIFT","United States","Y"
211,"Airest",NULL,"","AIT"," ","Estonia","N"
212,"Air Baffin",NULL,"","BFF","AIR BAFFIN","Canada","N"
213,"Air Bandama",NULL,"","BDM","BANDAMA","Ivory Coast","N"
214,"Air Berlin",NULL,"AB","BER","AIR BERLIN","Germany","Y"
215,"Air Brousse",NULL,"","ABT","AIR BROUSSE","Canada","N"
216,"Air Contractors",NULL,"AG","ABR","CONTRACT","Ireland","N"
217,"Air Illinois",NULL,"","AIL","AIR ILLINOIS","United States","N"
218,"Air India Limited",NULL,"AI","AIC","AIRINDIA","India","Y"
219,"Air Inter Gabon",NULL,"","AIG"," ","Gabon","N"
220,"Air Bourbon",NULL,"ZB","BUB","BOURBON","Reunion","Y"
221,"Air Atlanta Icelandic",NULL,"CC","ABD","ATLANTA","Iceland","Y"
222,"Air Inuit",NULL,"","AIE","AIR INUIT","Canada","N"
223,"Air Sureste",NULL,"","AIS","SURESTE","Spain","N"
224,"Air Srpska",NULL,"RB","SBK","Air Srpska","Bosnia and Herzegovina","N"
225,"Air Tahiti Nui",NULL,"TN","THT","TAHITI AIRLINES","France","Y"
226,"Airvias S/A Linhas Aereas",NULL,"","AIV","AIRVIAS","Brazil","N"
227,"Aero Services Executive",NULL,"W4","BES","BIRD EXPRESS","France","N"
228,"Atlantic Island Airways",NULL,"","AIW","TARTAN","Canada","N"
229,"Aircruising Australia",NULL,"","AIX","CRUISER","Australia","N"
230,"Aircrew Check and Training Australia",NULL,"","AIY","AIRCREW","Australia","N"
231,"Arkia Israel Airlines",NULL,"IZ","AIZ","ARKIA","Israel","Y"
232,"A J Services",NULL,"","AJA","AYJAY SERVICES","United Kingdom","N"
233,"Aero JBR",NULL,"","AJB","AERO JBR","Mexico","N"
234,"Aero Jet Express",NULL,"","AJE","JET EXPRESS","Mexico","N"
235,"Avia Consult Flugbetriebs",NULL,"","AJF","AVIACONSULT","Austria","N"
236,"Ameristar Jet Charter",NULL,"","AJI","AMERISTAR","United States","N"
237,"A2 Jet Leasing",NULL,"","AJJ","ATLANTIC JET","United States","N"
238,"Allied Air",NULL,"","AJK","BAMBI","Nigeria","N"
239,"Air Jamaica",NULL,"JM","AJM","JAMAICA","Jamaica","Y"
240,"Air One",NULL,"AP","ADH","HERON","Italy","Y"
241,"Air Sahara",NULL,"S2","RSH","SAHARA","India","Y"
242,"Air Malta",NULL,"KM","AMC","AIR MALTA","Malta","Y"
243,"Aeroejecutivo",NULL,"","AJO","AEROEXO","Mexico","N"
244,"Aero Jets Corporativos",NULL,"","AJP","AEROJETS","Mexico","N"
245,"Aeroejecutivos Colombia",NULL,"","AJS","AEROEJECUTIVOS","Colombia","N"
246,"Amerijet International",NULL,"M6","AJT","AMERIJET","United States","N"
247,"Air Jetsul",NULL,"","AJU","AIRJETSUL","Portugal","N"
248,"ANA & JP Express",NULL,"","AJV","AYJAY CARGO","Japan","N"
249,"Alpha Jet International",NULL,"","AJW","ALPHAJET","United States","N"
250,"Air Japan",NULL,"NQ","AJX","AIR JAPAN","Japan","Y"
251,"Ajet",NULL,"","AJY","AYJET","Cyprus","N"
252,"Air Korea Co. Ltd.",NULL,"","AKA","","Republic of Korea","Y"
253,"Air Livonia",NULL,"","LIV","LIVONIA","Estonia","N"
254,"Air BC",NULL,"","ABL","AIRCOACH","Canada","N"
255,"Air Fret Senegal",NULL,"","ABN"," ","Senegal","N"
256,"Air Jamahiriya Company",NULL,"","LJA","AIR JAMAHIRIYA","Libya","N"
257,"Aktjubavia",NULL,"","AKB","KARAB","Kazakhstan","N"
258,"Arca Aerovias Colombianas Ltda.",NULL,"","AKC","ARCA","Colombia","N"
259,"Anikay Air Company",NULL,"","AKF","ANIKAY","Kyrgyzstan","N"
260,"Akhal",NULL,"","AKH","AKHAL","Turkmenistan","N"
261,"Aeromilenio",NULL,"","MNI","AEROMIL","Mexico","N"
262,"Aklak Air",NULL,"","AKK","AKLAK","Canada","N"
263,"Air Kiribati",NULL,"4A","AKL","","Kiribati","Y"
264,"Alkan Air",NULL,"","AKN","ALKAN AIR","Canada","N"
265,"Angkor Airways",NULL,"","AKW","ANGKORWAYS","Cambodia","N"
266,"Air Nippon Network Co. Ltd.",NULL,"EH","AKX","ALFA WING","Japan","N"
267,"AK Navigator LLC",NULL,"","AKZ","ABSOLUTE","Kazakhstan","N"
268,"Aero Albatros",NULL,"","ALB","ALBATROS","Mexico","N"
269,"Albion Aviation",NULL,"","ALD","ALBION","United Kingdom","N"
270,"Aeroalas Colombia",NULL,"","ALE","AEROALAS","Colombia","N"
271,"Allied Command Europe (Mobile Force)",NULL,"","ALF","ACEFORCE","Belgium","N"
272,"Aerotaxis Albatros",NULL,"","BTS","AEROLINEAS ALBATROS","Mexico","N"
273,"American Flyers",NULL,"","FYS","AMERICAN FLYERS","United States","N"
274,"Aero Coach Aviation",NULL,"","DFA","AERO COACH","United States","N"
275,"Atlantic Southeast Airlines",NULL,"","CAA","Chandler","United States","N"
276,"ACM Air Charter",NULL,"","BVR","BAVARIAN","Germany","N"
277,"Air Logistics",NULL,"","ALG","AIRLOG","United States","N"
278,"Aerovallarta",NULL,"","ALL","VALLARTA","Mexico","N"
279,"Air ALM",NULL,"","ALM","ANTILLEAN","Netherlands Antilles","N"
280,"Air Lincoln",NULL,"","ALN","CHICAGO LINCOLN","United States","N"
281,"America West Airlines",NULL,"HP","AWE","CACTUS","United States","Y"
282,"Air Wisconsin",NULL,"ZW","AWI","AIR WISCONSIN","United States","Y"
283,"Aerotransporte de Carga Union",NULL,"","TNO","AEROUNION","Mexico","N"
284,"Aero Taxis Cessna",NULL,"","TND","TAXIS CESSNA","Mexico","N"
285,"Arizona Express Airlines",NULL,"","TMP","TEMPE","United States","N"
286,"Tatarstan Airlines",NULL,"U9","TAK","TATARSTAN","Russia","Y"
287,"Allegheny Commuter Airlines",NULL,"","ALO","ALLEGHENY","United States","Y"
288,"Alpliner AG",NULL,"","ALP","ALPINER","Switzerland","N"
289,"Altair Aviation (1986)",NULL,"","ALQ","ALTAIR","Canada","N"
290,"Air Luxor STP",NULL,"","ALU","LUXORJET","Sao Tome and Principe","N"
291,"Alas de Venezuela",NULL,"","ALV","ALVEN","Venezuela","N"
292,"Alas Nacionales",NULL,"","ALW"," S.A.","ALNACIONAL","N"
293,"Alyeska Air Service",NULL,"","ALY","ALYESKA","United States","N"
294,"Alta Flights (Charters) Ltd.",NULL,"","ALZ"," ","Canada","N"
295,"Air Sunshine",NULL,"","RSI","AIR SUNSHINE","United States","Y"
296,"ATMA",NULL,"","AMA","ADIK","Kazakhstan","N"
297,"Aerolineas Medellin",NULL,"","AMD","AEROLINEAS MEDELLIN","Colombia","N"
298,"Ameriflight",NULL,"","AMF","AMFLIGHT","United States","N"
299,"Air Libert",NULL,"VD","","","France","Y"
300,"Air Lithuania",NULL,"TT","KLA","KAUNAS","Lithuania","N"
301,"Air Minas Linhas A",NULL,"","AMG","AIR MINAS","Brazil","N"
302,"Alan Mann Helicopters Ltd.",NULL,"","AMH","MANN","United Kingdom","N"
303,"Air Maldives",NULL,"","AMI","AIR MALDIVES","Maldives","N"
304,"Aviation Amos",NULL,"","AMJ","AVIATION AMOS","Canada","N"
305,"Amerer Air",NULL,"","AMK","AMER AIR","Austria","N"
306,"Air Malawi",NULL,"QM","AML","MALAWI","Malawi","Y"
307,"Aeroputul International Marculesti",NULL,"","AMM","AEROM","Moldova","N"
308,"Air Montenegro",NULL,"","AMN","MONTENEGRO","Montenegro","N"
309,"Air Montreal (Air Holdings Inc.)",NULL,"","AMO","AIR MONTREAL","Canada","N"
310,"Aero Transporte S.A. (ATSA)",NULL,"","AMP","ATSA","Peru","N"
311,"Aeromedicare Ltd.",NULL,"","AMQ","LIFELINE","United Kingdom","N"
312,"Air Sicilia",NULL,"BM","","","Italy","Y"
313,"Air Specialties Corporation",NULL,"","AMR","AIR AM","United States","N"
314,"Air Muskoka",NULL,"","AMS","AIR MUSKOKA","Canada","N"
315,"ATA Airlines",NULL,"","AMT","AMTRAN","United States","Y"
316,"Air Macau",NULL,"NX","AMU","AIR MACAO","Macao","Y"
317,"AMC Airlines",NULL,"","AMV","","Egypt","Y"
318,"Air Midwest",NULL,"ZV","AMW","AIR MIDWEST","United States","N"
319,"Air Seychelles",NULL,"HM","SEY","SEYCHELLES","Seychelles","Y"
320,"Air Sofia",NULL,"","SFB","AIR SOFIA","Bulgaria","N"
321,"AeroMéxico",NULL,"AM","AMX","AEROMEXICO","Mexico","Y"
322,"Air Ambar",NULL,"","AMY","AIR AMBAR","Dominican Republic","N"
323,"Amiya Airline",NULL,"","AMZ","AMIYA AIR","Nigeria","N"
324,"All Nippon Airways","ANA All Nippon Airways","NH","ANA","ALL NIPPON","Japan","Y"
325,"Air Navigation And Trading Co. Ltd.",NULL,"","ANB","AIR NAV","United Kingdom","N"
326,"Anglo Cargo",NULL,"","ANC","ANGLO","United Kingdom","N"
327,"Air Nostrum",NULL,"YW","ANE","AIR NOSTRUM","Spain","Y"
328,"Air Niugini",NULL,"PX","ANG","NUIGINI","Papua New Guinea","Y"
329,"Air Arabia",NULL,"G9","ABY","ARABIA","United Arab Emirates","Y"
330,"Air Canada",NULL,"AC","ACA","AIR CANADA","Canada","Y"
331,"Airport Bratsk",NULL,"","BRP","AEROBRA","Russia","N"
332,"Air Wings",NULL,"","BSB","ARBAS","Moldova","N"
333,"Air Baltic",NULL,"BT","BTI","AIRBALTIC","Latvia","Y"
334,"Alajnihah for Air Transport",NULL,"","ANH","ALAJNIHAH","Libya","N"
335,"Air Atlantic (Nig) Limited",NULL,"","ANI","NIGALANTIC","Nigeria","N"
336,"Air Nippon",NULL,"EL","ANK","ANK AIR","Japan","Y"
337,"Antares Airtransport",NULL,"","ANM"," Maintenance & Service GmbH","ANTARES","N"
338,"Airnorth",NULL,"TL","ANO","TOPEND","Australia","Y"
339,"Aerol",NULL,"","ANQ","ANTIOQUIA","Colombia","N"
340,"Andes Lineas Aereas",NULL,"","ANS","AEROANDES","Argentina","N"
341,"Air North Charter - Canada",NULL,"4N","ANT","AIR NORTH","Canada","Y"
342,"Air Nevada",NULL,"","ANV","AIR NEVADA","United States","N"
343,"AOM French Airlines",NULL,"IW","AOM","French Lines","France","N"
344,"Aviacion Del Noroeste",NULL,"","ANW"," S.A. de C.V.","AVINOR","N"
345,"Air New Zealand",NULL,"NZ","ANZ","NEW ZEALAND","New Zealand","Y"
346,"Avia Jaynar",NULL,"","SAP","TOBOL","Kazakhstan","N"
347,"Aero Servicios Empresariales",NULL,"","EMS","SERVIEMPRESARIAL","Mexico","N"
348,"Alcon Servicios Aereos",NULL,"","AOA"," S.A. de C.V.","ALCON","N"
349,"AVCOM",NULL,"J6","AOC","AERO AVCOM","Russia","N"
350,"Aero Vodochody",NULL,"","AOD","AERO CZECH","Czech Republic","N"
351,"Air One Executive",NULL,"","AOE"," ","Italy","N"
352,"Atair Pty Ltd.",NULL,"","AOF","ATAIR","South Africa","N"
353,"Aero VIP",NULL,"2D","AOG","AVIP","Argentina","N"
354,"Aeromundo Ejecutivo",NULL,"","MUN","AEROMUNDO","Mexico","N"
355,"Aerolinea Muri",NULL,"","MUR","MURI","Mexico","N"
356,"Astoria",NULL,"","AOI"," Inc.","ASTORIA","N"
357,"Aero Rent JSC",NULL,"","NRO","AEROMASTER","Russia","N"
358,"Aeronord-Grup",NULL,"","NRP","AERONORD","Moldova","N"
359,"Aeroatlantico Colombia",NULL,"","AOK","","Colombia","N"
360,"Angkor Airlines",NULL,"","AOL","ANGKOR AIR","Cambodia","N"
361,"Aero Entreprise",NULL,"","AON","AERO ENTERPRISE","France","N"
362,"As",NULL,"","AOO"," Opened Joint Stock Company","COMPANY AS","N"
